,run,p32,min_length,total_length,num_lineaments,clusters
80,80,0.001,400.0,11655.734,18,3
70,70,0.001,300.0,10604.098000000002,21,4
50,50,0.001,200.0,10775.548999999997,22,4
30,30,0.001,100.0,10775.548999999997,22,4
20,20,0.001,75.0,10775.548999999997,22,4
0,0,0.001,25.0,10775.548999999997,22,4
40,40,0.001,150.0,10775.548999999997,22,4
10,10,0.001,50.0,10775.548999999997,22,4
60,60,0.001,250.0,13004.877000000002,28,4
90,90,0.001,500.0,31362.201999999997,48,7
61,61,0.002,250.0,69723.39199999999,153,14
1,1,0.002,25.0,59557.76270000001,164,19
51,51,0.002,200.0,59557.76270000001,164,19
31,31,0.002,100.0,59557.76270000001,164,19
21,21,0.002,75.0,59557.76270000001,164,19
11,11,0.002,50.0,59557.76270000001,164,19
41,41,0.002,150.0,59557.76270000001,164,19
71,71,0.002,300.0,100311.3402,206,19
91,91,0.002,500.0,128208.69140000001,210,11
81,81,0.002,400.0,131607.282,233,17
92,92,0.003,500.0,243156.1425,400,3
32,32,0.003,100.0,151119.8235,408,32
42,42,0.003,150.0,151119.8235,408,32
22,22,0.003,75.0,151119.8235,408,32
12,12,0.003,50.0,151119.8235,408,32
2,2,0.003,25.0,151119.8235,408,32
52,52,0.003,200.0,151119.8235,408,32
82,82,0.003,400.0,224903.8613,419,9
62,62,0.003,250.0,174544.0677,426,25
72,72,0.003,300.0,210502.96150000003,464,19
93,93,0.004,500.0,330644.7697,555,2
83,83,0.004,400.0,317177.6675,607,3
73,73,0.004,300.0,297681.87340000004,664,9
94,94,0.005,500.0,414985.64519999997,705,2
63,63,0.004,250.0,285518.9534,712,17
43,43,0.004,150.0,261958.3551,721,21
53,53,0.004,200.0,261958.3551,721,21
3,3,0.004,25.0,261958.3551,721,21
33,33,0.004,100.0,261958.3551,721,21
23,23,0.004,75.0,261958.3551,721,21
13,13,0.004,50.0,261958.3551,721,21
84,84,0.005,400.0,404918.9329,783,4
95,95,0.006,500.0,506419.55870000005,864,2
74,74,0.005,300.0,387711.8307,872,2
85,85,0.006,400.0,490522.1863,948,3
64,64,0.005,250.0,380159.3748,959,6
14,14,0.005,50.0,362251.6174,1015,12
44,44,0.005,150.0,362251.6174,1015,12
34,34,0.005,100.0,362251.6174,1015,12
54,54,0.005,200.0,362251.6174,1015,12
24,24,0.005,75.0,362251.6174,1015,12
4,4,0.005,25.0,362251.6174,1015,12
96,96,0.007,500.0,595360.6980999999,1022,1
75,75,0.006,300.0,478130.907,1089,3
86,86,0.007,400.0,582660.2307,1125,1
65,65,0.006,250.0,466703.7938,1168,1
97,97,0.008,500.0,681963.3058,1176,1
25,25,0.006,75.0,448481.29339999997,1279,5
35,35,0.006,100.0,448481.29339999997,1279,5
5,5,0.006,25.0,448481.29339999997,1279,5
15,15,0.006,50.0,448481.29339999997,1279,5
45,45,0.006,150.0,448481.29339999997,1279,5
55,55,0.006,200.0,448481.29339999997,1279,5
76,76,0.007,300.0,563901.7825,1287,2
87,87,0.008,400.0,670988.1875,1303,2
98,98,0.009,500.0,769787.1604,1332,1
66,66,0.007,250.0,552287.0922,1415,2
88,88,0.009,400.0,752073.5617,1479,1
77,77,0.008,300.0,647978.2135000001,1489,3
99,99,0.01,500.0,854407.5560999999,1490,1
36,36,0.007,100.0,532272.4039,1549,4
56,56,0.007,200.0,532272.4039,1549,4
16,16,0.007,50.0,532272.4039,1549,4
46,46,0.007,150.0,532272.4039,1549,4
26,26,0.007,75.0,532272.4039,1549,4
6,6,0.007,25.0,532272.4039,1549,4
89,89,0.01,400.0,837039.7719,1641,1
67,67,0.008,250.0,634441.00632,1663,3
78,78,0.009,300.0,736833.1267,1703,1
57,57,0.008,200.0,619277.4545,1831,4
47,47,0.008,150.0,619277.4545,1831,4
7,7,0.008,25.0,619277.4545,1831,4
27,27,0.008,75.0,619277.4545,1831,4
17,17,0.008,50.0,619277.4545,1831,4
37,37,0.008,100.0,619277.4545,1831,4
68,68,0.009,250.0,719865.4345,1886,2
79,79,0.01,300.0,817705.49737,1905,1
69,69,0.01,250.0,798577.6492999999,2107,2
28,28,0.009,75.0,705473.9727,2110,2
8,8,0.009,25.0,705473.9727,2110,2
58,58,0.009,200.0,705473.9727,2110,2
48,48,0.009,150.0,705473.9727,2110,2
38,38,0.009,100.0,705473.9727,2110,2
18,18,0.009,50.0,705473.9727,2110,2
9,9,0.01,25.0,791716.7453,2399,2
19,19,0.01,50.0,791716.7453,2399,2
29,29,0.01,75.0,791716.7453,2399,2
59,59,0.01,200.0,791716.7453,2399,2
49,49,0.01,150.0,791716.7453,2399,2
39,39,0.01,100.0,791716.7453,2399,2
